"기간","과일","신선수산물","냉동수산물","어육","김","라면","나프타","휘발유","제트유","등유","경유","벙커C유","정제혼합용원료유","윤활유","아스팔트"
"1993.08",0,60.29,82.8,146.02,0,65.66,27.52,0,0,0,37.55,26.7,0,0,0
"1993.09",0,60.18,81.34,146.02,0,65.66,26.11,0,0,0,35.96,25.55,0,0,0
"1993.10",0,60.81,80.58,146.02,0,65.66,26.58,0,0,0,39.14,26.7,0,0,0
"1993.11",0,59.26,82.12,146.02,0,65.66,25.57,0,0,0,37.48,20.37,0,0,0
"1993.12",0,59.26,83.83,146.02,0,65.66,25.3,0,0,0,33.25,19.67,0,0,0
"1994.01",0,59.26,84.52,146.02,0,65.66,26.85,0,0,0,34.67,22.49,0,0,0
"1994.02",0,59.26,86.33,146.02,0,65.66,25.24,0,0,0,32.12,21.8,0,0,0
"1994.03",0,63.94,96.37,146.02,0,65.66,24.96,0,0,0,30.87,20.06,0,0,0
"1994.04",0,63.94,97.93,146.02,0,65.66,28.16,0,0,0,34.19,27.77,0,0,0
"1994.05",0,63.94,97.93,146.02,0,65.66,29.48,0,0,0,33.08,30.92,0,0,0
"1994.06",0,62.29,93.15,146.02,0,65.66,31.07,0,0,0,31.9,30.41,0,0,0
"1994.07",0,60.63,96.06,146.02,0,65.66,32.2,0,0,0,32.87,37.08,0,0,0
"1994.08",0,62.45,97.66,146.02,0,65.66,32.1,0,0,0,32.05,32.51,0,0,0
"1994.09",0,63.2,98.05,146.02,0,65.66,31.97,0,0,0,32.32,26.53,0,0,0
"1994.10",0,67.24,105.51,146.02,0,65.66,32.75,0,0,0,33.56,31.97,0,0,0
"1994.11",0,68.74,107.95,146.02,0,65.66,33.7,0,0,0,38.45,32.86,0,0,0
"1994.12",0,69.58,97.88,146.02,0,65.66,34.07,0,0,0,34.67,31.46,0,0,0
"1995.01",0,121.8,94.01,145.24,0,65.81,33.7,0,35.33,35.94,34.3,35.32,0,0,0
"1995.02",0,128.78,90.82,145.24,0,65.81,33.06,0,35.6,36.21,34.13,36.92,0,0,0
"1995.03",0,149.53,92.49,145.24,0,65.81,33.28,0,33.53,34.11,33.58,37.79,0,0,0
"1995.04",0,158.76,84.89,145.24,0,65.81,34.91,0,34.5,35.1,35.19,38.03,0,0,0
"1995.05",0,158.62,77.94,145.24,0,65.81,34.94,0,35.83,36.44,36.35,37.43,0,0,0
"1995.06",0,166.08,73.83,145.24,0,67.89,34.59,0,34.43,35.03,35.39,31.02,0,0,0
"1995.07",0,177.1,83.51,145.24,0,67.89,32.09,0,32.9,33.45,33.01,30.31,0,0,0
"1995.08",0,174.02,84.67,145.24,0,67.89,30.42,0,32.5,33.06,32.44,29.87,0,0,0
"1995.09",0,169.32,78.24,145.24,0,67.89,31.39,0,33.68,34.26,32.49,28.03,0,0,0
"1995.10",0,184.86,91.33,133.44,0,67.89,30.03,0,35.57,36.19,31.73,31.53,0,0,0
"1995.11",0,182.77,76.86,133.44,0,67.89,30.16,0,38.71,39.38,34.52,32.61,0,0,0
"1995.12",0,174.99,77.01,133.44,0,67.89,32.23,0,44.72,45.48,38.03,37.53,0,0,0
"1996.01",0,158.12,76.86,130.45,0,68.7,32.37,0,47.85,48.67,39.58,38.58,0,0,0
"1996.02",0,157.31,78.24,130.45,0,68.7,30.97,0,44.09,44.84,41.98,33.25,0,0,0
"1996.03",0,157.31,88.36,130.45,0,74.12,33.51,0,42.72,43.46,42.35,34.62,0,0,0
"1996.04",0,157.31,87.35,130.45,0,74.12,36.05,0,40.95,41.65,40.2,37.34,0,0,0
"1996.05",0,157.31,87.35,124.47,0,74.12,34.97,0,40.51,41.22,42.53,33.39,0,0,0
