"기간","쌀","돼지고기","쇠고기.국산.","우유","라면","스낵과자","달걀","닭고기","두부","마른멸치","고등어","파","참기름","맛김","콩나물","탄산음료","밀가루","전기료","도시가스","휘발유"
2003.04,85.73,51.45,67.355,44.111,66.25,50.398,45.894,59.505,59.895,62.171,67.507,80.963,59.102,45.066,70.92,50.366,54.843,92.611,59.357,80.083
2003.05,85.818,52.733,69.448,44.111,66.307,50.398,47.717,57.016,59.895,62.028,72.225,69.216,58.225,45.066,71.262,51.87,54.843,92.611,59.357,80.387
2003.06,85.905,53.928,70.504,44.111,66.307,50.398,47.033,56.642,59.895,62.028,71.031,60.84,60.354,44.978,71.671,51.368,54.843,92.611,59.357,79.704
2003.07,85.467,55.166,69.085,44.111,64.989,49.984,44.907,54.339,59.895,61.694,67.679,55.099,60.729,44.978,71.671,51.368,54.843,92.611,59.357,79.172
2003.08,85.905,54.989,71.136,44.111,65.275,49.901,46.805,56.518,59.895,58.487,63.871,61.578,61.731,44.978,71.262,49.819,53.816,92.611,58.389,79.172
2003.09,85.992,54.458,72.231,44.111,66.478,49.777,50.26,57.39,59.895,59.348,68.474,96.028,61.355,44.978,70.102,51.414,53.816,92.611,58.389,79.172
2003.1,85.205,52.733,71.184,44.111,66.478,49.777,48.285,57.14,59.895,59.54,70.065,110.935,59.79,44.978,70.511,51.323,55.558,92.611,56.2,79.172
2003.11,85.379,51.981,71.713,46.305,66.192,49.238,48.627,56.331,59.895,58.965,70.122,103.929,58.914,44.667,70.852,50.549,55.246,92.611,56.2,80.387
2003.12,85.467,52.247,72.598,46.086,66.478,50.066,49.197,51.351,59.895,59.348,66.599,86.861,68.68,44.712,70.852,50.822,55.648,92.611,56.2,80.918
2004.01,86.255,53.883,75.883,46.086,68.542,50.066,49.083,47.617,59.895,60.114,73.759,84.228,73.564,44.667,70.852,50.138,55.648,92.611,56.2,81.981
2004.02,86.868,56.272,74.878,46.086,69.057,50.066,48.438,49.796,59.895,60.305,75.747,94.394,80.764,45.111,70.852,52.007,55.514,92.611,58.592,83.347
2004.03,86.955,61.537,76.164,46.086,69,50.066,51.55,75.254,64.245,60.161,77.736,94.078,82.454,44.267,72.081,52.691,55.514,92.611,58.592,84.409
2004.04,86.694,61.625,76.428,46.086,69,49.611,55.081,75.378,64.245,59.444,79.498,73.641,82.454,44.267,72.422,52.873,55.111,89.635,58.592,84.106
2004.05,86.955,63.704,76.781,46.086,69.057,49.901,54.056,79.859,62.875,60.209,81.715,52.834,81.891,45.022,72.9,52.782,59.845,89.635,58.592,84.941
2004.06,87.131,69.367,76.285,46.086,69.057,52.18,56.371,77.805,62.875,59.826,83.816,49.831,82.705,46.578,73.582,52.052,60.427,89.635,58.592,84.714
2004.07,87.219,68.924,75.576,46.086,69,52.18,57.738,82.474,62.875,58.342,100.75,54.572,82.705,45.378,73.924,52.508,61.006,89.635,58.592,83.879
2004.08,87.219,71.137,76.087,46.086,69,52.056,61.572,89.445,62.875,59.06,107.626,68.215,81.453,46.223,73.924,52.691,61.006,89.635,58.592,85.853
2004.09,87.219,73.481,77.078,55.127,69,51.807,70.341,78.552,62.875,59.491,101.773,72.849,81.577,46.223,73.924,53.329,60.203,89.635,58.592,85.473
2004.1,86.781,72.95,76.91,55.742,69,51.807,70.72,80.855,62.875,58.342,91.26,54.941,82.016,46.267,73.924,52.873,62.168,89.635,61.902,86.231
2004.11,86.868,65.562,76.135,55.742,69,51.932,69.733,84.777,64.245,61.263,95.352,53.835,81.953,46.267,75.221,52.052,62.168,89.635,61.902,85.397
2004.12,86.868,68.703,76.296,55.742,69.057,52.18,69.315,78.615,64.245,64.23,92.51,52.781,82.016,46.267,75.221,51.368,62.168,89.635,65.364,83.499
2005.01,86.651,70.125,77.604,56.114,73.766,57.091,72.616,80.288,64.316,65.146,89.001,50.814,79.974,45.35,75.533,51.873,61.584,89.635,65.367,83.556
2005.02,86.906,68.57,75.653,56.114,74.735,57.492,72.129,83.099,64.316,66.501,89.001,52.046,82.055,46.434,76.198,54.138,61.648,89.635,63.437,85.338
2005.03,86.566,67.156,76.277,56.114,74.065,56.119,73.451,83.412,63.366,69.498,88.682,51.907,81.175,46.198,74.572,54.47,63.039,89.635,63.437,87.479
2005.04,85.633,69.418,74.638,56.114,74.586,57.149,72.964,85.599,63.429,71.353,85.345,49.173,81.896,45.303,72.281,54.746,62.849,89.635,58.581,88.46
2005.05,86.057,68.57,76.668,56.114,74.586,57.378,72.477,84.739,63.429,72.067,83.359,49.241,81.896,47.705,72.946,55.906,63.102,89.635,60.822,87.211
2005.06,86.142,72.317,73.155,56.114,74.437,57.378,70.04,80.601,63.366,73.137,67.147,63.808,81.736,47.705,73.611,55.243,63.861,89.635,60.013,87.301
2005.07,85.208,75.709,74.325,56.114,74.735,57.378,67.395,82.162,63.366,73.423,60.552,65.859,81.736,47.705,73.611,57.231,63.861,89.635,61.632,89.886
2005.08,85.123,71.397,76.355,56.114,74.586,57.32,67.255,81.303,62.606,75.777,67.306,75.229,81.736,47.705,73.611,56.569,63.861,89.635,61.632,91.402
2005.09,84.699,75.497,80.805,56.114,74.586,57.32,69.204,70.681,62.606,74.422,77.24,83.915,73.009,47.705,73.611,56.127,63.292,89.635,61.632,94.256
2005.1,83.681,71.539,82.991,58.897,74.586,57.32,67.882,67.323,63.239,71.995,82.246,88.838,78.693,47.705,73.316,56.127,63.861,89.635,61.632,93.097
2005.11,81.134,67.651,84.397,58.897,74.586,57.32,65.933,64.511,63.239,72.78,81.372,79.743,78.613,47.705,73.316,55.022,63.861,89.635,64.495,91.313
2005.12,80.626,70.337,83.85,58.897,74.884,57.32,64.052,73.493,63.239,70.14,82.325,110.176,78.053,47.705,74.276,55.464,63.861,89.635,64.495,90.778
2006.01,80.88,70.054,87.13,58.897,74.437,57.663,63.287,80.209,63.239,70.354,90.669,106.825,75.571,47.705,74.941,55.906,63.861,90.979,67.982,91.759
2006.02,81.22,69.913,87.597,58.897,74.437,57.663,61.128,78.257,63.303,69.212,93.053,118.999,77.333,46.858,74.276,57.011,65.252,90.979,67.982,91.937
2006.03,80.371,65.813,87.207,58.897,74.362,57.663,62.451,85.911,63.303,69.284,89.16,116.674,74.931,47.705,71.985,56.734,65.315,90.979,68.355,92.294
2006.04,80.032,66.025,86.661,58.897,74.214,56.862,62.8,76.149,63.113,70.14,92.815,104.021,70.928,48.411,71.394,56.458,65.189,90.979,68.355,94.167
2006.05,79.861,69.206,86.739,58.897,74.214,57.035,61.476,71.306,63.113,71.781,91.464,88.633,69.967,48.411,72.65,55.353,64.999,90.979,68.355,96.039
2006.06,79.946,78.679,87.676,58.897,74.214,57.149,62.451,72.399,63.113,72.638,91.146,71.467,72.369,48.694,72.65,56.734,64.999,90.979,68.355,95.861
2006.07,78.928,76.346,84.787,58.897,74.288,57.149,63.844,77.086,63.113,73.922,90.908,59.636,74.691,48.788,72.65,55.519,64.999,90.979,73.149,96.039
2006.08,80.116,72.74,85.881,58.897,74.288,57.32,64.609,81.849,63.113,74.35,90.828,71.331,73.89,47.375,72.281,56.79,63.924,90.979,73.149,96.218
2006.09,80.455,72.317,86.348,58.897,74.437,57.263,68.717,72.399,63.113,74.635,89.001,74.271,74.53,47.375,72.281,56.569,63.482,90.979,78.938,93.097
2006.1,81.22,70.62,86.739,58.897,74.81,57.263,67.255,68.261,63.113,75.206,87.57,70.373,74.37,48.27,72.281,56.79,63.735,90.979,78.938,89.708
2006.11,80.88,65.954,85.724,58.897,74.81,56.977,63.565,75.289,63.113,75.206,92.338,66.749,72.849,48.27,72.281,57.231,63.735,90.979,74.02,88.549
2006.12,80.626,67.58,85.724,58.897,74.81,57.206,63.774,60.684,63.113,73.85,94.007,68.39,71.649,56.04,71.468,57.176,62.343,90.979,74.02,89.708
2007.01,79.861,68.57,86.582,58.897,74.81,57.149,61.755,70.213,63.113,75.206,95.278,56.422,74.851,56.559,70.729,57.011,62.849,91.338,71.966,90.154
2007.02,80.455,69.489,88.691,58.897,74.81,57.32,63.914,74.274,66.154,74.278,98.616,56.011,76.451,58.772,71.912,57.839,63.735,91.338,71.966,89.174
2007.03,81.22,67.863,88.3,58.897,75.331,57.95,62.73,69.901,66.281,73.85,93.689,51.977,75.491,58.772,71.912,58.999,68.161,91.338,70.285,93.186
2007.04,81.474,64.54,87.597,58.897,80.994,64.643,63.774,69.823,66.281,73.85,91.067,51.224,76.692,59.478,71.912,58.668,68.161,91.338,70.285,96.485
2007.05,81.304,64.47,84.318,58.897,80.919,65.101,65.236,68.573,66.281,73.85,90.828,49.788,75.892,59.478,71.912,57.729,68.224,91.338,73.024,98.001
