"기간","자치구","총전입","여성전입","남성전입","총전출","여성전출","남성전출"
2015.04,"강북구",4409,2239,2170,4779,2409,2370
2015.04,"강서구",8096,3996,4100,7947,3939,4008
2015.04,"관악구",8552,4463,4089,8755,4543,4212
2015.04,"광진구",5444,2692,2752,5873,2894,2979
2015.04,"구로구",5012,2521,2491,5346,2689,2657
2015.04,"금천구",3252,1713,1539,3311,1762,1549
2015.04,"노원구",6104,3028,3076,6745,3360,3385
2015.04,"도봉구",4376,2228,2148,4338,2225,2113
2015.04,"동대문구",5102,2596,2506,5353,2755,2598
2015.04,"동작구",5979,3033,2946,6310,3201,3109
2015.04,"마포구",6018,2907,3111,5942,2888,3054
2015.04,"서대문구",4285,2156,2129,4592,2234,2358
2015.04,"서초구",6423,3088,3335,7913,3911,4002
2015.04,"성동구",4153,2131,2022,4053,2068,1985
2015.04,"성북구",5490,2715,2775,6417,3218,3199
2015.04,"송파구",8747,4306,4441,9335,4566,4769
2015.04,"양천구",5195,2629,2566,5514,2808,2706
2015.04,"영등포구",5257,2680,2577,5633,2932,2701
2015.04,"용산구",3330,1689,1641,3592,1800,1792
2015.04,"은평구",6969,3451,3518,7274,3601,3673
2015.04,"종로구",2002,1057,945,2284,1170,1114
2015.04,"중구",1759,930,829,2010,1057,953
2015.04,"중랑구",6492,3294,3198,6354,3257,3097
2015.05,"강남구",7472,3556,3916,8891,4258,4633
2015.05,"강동구",6678,3323,3355,8625,4280,4345
2015.05,"강북구",4412,2173,2239,4786,2353,2433
2015.05,"강서구",7741,3812,3929,7775,3896,3879
2015.05,"관악구",7679,3959,3720,8545,4434,4111
2015.05,"광진구",4872,2375,2497,5317,2628,2689
2015.05,"구로구",4815,2387,2428,5222,2642,2580
2015.05,"금천구",2991,1556,1435,3190,1659,1531
2015.05,"노원구",6225,3001,3224,7011,3406,3605
2015.05,"도봉구",4530,2240,2290,4664,2341,2323
2015.05,"동대문구",4427,2261,2166,4923,2479,2444
2015.05,"동작구",5464,2654,2810,5944,2968,2976
2015.05,"마포구",6546,3186,3360,5779,2929,2850
2015.05,"서대문구",3826,1871,1955,4523,2231,2292
2015.05,"서초구",5535,2645,2890,6576,3201,3375
2015.05,"성동구",5354,2618,2736,4400,2165,2235
2015.05,"성북구",5873,2831,3042,6794,3345,3449
2015.05,"송파구",8373,4087,4286,8832,4375,4457
2015.05,"양천구",5421,2708,2713,5697,2825,2872
2015.05,"영등포구",4679,2366,2313,5369,2751,2618
2015.05,"용산구",3048,1477,1571,3396,1658,1738
2015.05,"은평구",7085,3467,3618,7360,3622,3738
